ACCESSION	GROUP.ROW	LATTITUDE	LONGTITUDE	COLOUR
HOR7969	Landrace 2-row	38	37	"greenyellow"
HOR8113	Landrace 2-row	39.25	29.5	"greenyellow"
HOR8635	Landrace 2-row	48.528	22.141	"greenyellow"
HOR8658	Landrace 2-row	31.193	29.904	"greenyellow"
HOR8827	Landrace 2-row	49.633	20.6	"greenyellow"
HOR902	Landrace 2-row	41.293	36.331	"greenyellow"
HOR937	Landrace 2-row	39.074	21.824	"greenyellow"
HOR9453	Landrace 2-row	46.777	23.6	"greenyellow"
HOR9607	Landrace 2-row	42.3	43.35	"greenyellow"
HOR9919	Landrace 2-row	45.432	6.306	"greenyellow"
SBCC147	Landrace 2-row	43.07	-4.77	"greenyellow"
SBCC158	Landrace 2-row	41.98	1.52	"greenyellow"
WB-108	Landrace 2-row	35.9	39.02	"greenyellow"
WB-109	Landrace 2-row	35.9	39.02	"greenyellow"
WB-111	Landrace 2-row	36.444	43.257	"greenyellow"
WB-119	Landrace 2-row	36.833	40.072	"greenyellow"
WB-120	Landrace 2-row	36.39	38.98	"greenyellow"
WB-121	Landrace 2-row	33.817	36.544	"greenyellow"
WB-126	Landrace 2-row	30.7	112.5	"greenyellow"
WB-127	Landrace 2-row	43.64	115.66	"greenyellow"
WB-167	Landrace 2-row	-34.87	-56.17	"greenyellow"
WB-200	Landrace 2-row	49.48	22.069	"greenyellow"
WB-207	Landrace 2-row	46.4	19.9	"greenyellow"
WB-269	Landrace 2-row	63.95	41.68	"greenyellow"
WB-272	Landrace 2-row	59.22	39.75	"greenyellow"
WB-279	Landrace 2-row	42.875	74.612	"greenyellow"
WB-292	Landrace 2-row	39.491	21.944	"greenyellow"
WB-295	Landrace 2-row	34.58	48.82	"greenyellow"
WB-299	Landrace 2-row	38.75	29.417	"greenyellow"
WB-301	Landrace 2-row	38.75	30.67	"greenyellow"
WB-302	Landrace 2-row	39.44	29.98	"greenyellow"
WB-303	Landrace 2-row	39.24	29.5	"greenyellow"
WB-304	Landrace 2-row	31.779	35.224	"greenyellow"
WB-305	Landrace 2-row	31.779	35.224	"greenyellow"
WB-307	Landrace 2-row	31.779	35.224	"greenyellow"
WB-308	Landrace 2-row	31.779	35.224	"greenyellow"
