ACCESSION	CLADE	GROUP.NUM	GROUP.ROW	CATEGORY	ROWTYPE	SOURCE	COUNTRY	LATTITUDE	LONGTITUDE	"PCoA, Axis 1"	"PCoA, Axis 2"	"PCoA, Axis 3"	CLADE.OLD	VARIETY	OTHER.ACC	HABIT
B1K-51-13	3	5	Spontaneum	Spontaneum	Spont	B1K Israel - Spontaneum	Israel	32.974	35.424	0.018403	-0.0072902	0.0094709	3			
BCC003	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Afghanistan	34.633	65.750	-0.006633	-0.0038994	-0.00033386	1			
BCC103	6	4	Landrace 6-row	Landrace	6	ExCAP landrace	Jordan	32.117	36.267	-0.00060563	-0.014795	-0.0070431	5			
BCC105	10	3	Landrace 2-row	Landrace	2	ExCAP landrace	Jordan	31.283	35.833	-0.0025773	-0.00037567	0.0030644	10			
BCC107	10	3	Landrace 2-row	Landrace	2	ExCAP landrace	Lebanon	33.933	36.100	-0.00087099	0.0039713	0.00032501	10			
BCC108	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Lebanon	34.333	35.733	-0.011265	0.0063324	0.00020217	1			
BCC110	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Lebanon	34.433	36.050	-0.011069	0.0067618	0.00045235	1			
BCC126	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Morocco	31.370	-5.790	-0.0075061	0.0049325	-0.0028163	1			
BCC131	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Morocco	32.050	-3.050	-0.010207	0.0037964	-0.0021336	1			
BCC1481	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Russia	61.783	34.350	-0.0095468	-0.00083405	0.00063784	1			
BCC1487	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Russia	42.975	47.502	-0.0094085	0.00027424	0.003414	1			
BCC1488	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Russia	51.000	142.640	-0.0063079	0.00079796	0.00028334	1			
BCC1494	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Kazakhstan	50.298	57.181	-0.0099893	0.0027558	0.0019359	1			
BCC1503	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Turkmenistan	37.942	58.384	-0.0077991	0.0021174	0.0022243	1			
BCC1589	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Italy	37.933	12.733	-0.0092804	0.0018154	0.0035387	1			
BCC167	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Oman	22.667	57.333	-0.0070872	0.0020393	0.0013989	1			
BCC168	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Oman	23.167	57.667	-0.0090585	0.0027454	0.0014899	1			
BCC169	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Oman	22.720	57.250	-0.010091	0.0026749	0.00097183	1			
BCC182	6	4	Landrace 6-row	Landrace	6	ExCAP landrace	Pakistan	36.300	73.367	0.0049881	-0.013997	-0.015283	5			
BCC185	6	4	Landrace 6-row	Landrace	6	ExCAP landrace	Saudi Arabia	24.633	46.717	-0.0035359	-0.014946	-0.0072935	5			
BCC190	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Syria	36.833	40.072	-0.0048271	-0.0010678	0.0045144	1			
BCC192	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Syria	36.383	38.960	-0.0016373	0.00046662	0.0019936	1			
BCC195	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Syria	33.817	36.544	-0.0011205	0.0021055	0.0010118	1			
BCC197	10	3	Landrace 2-row	Landrace	2	ExCAP landrace	Syria	36.117	36.463	0.00018217	0.0023515	-0.0014763	10			
BCC21	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Egypt	28.312	30.710	-0.010474	0.004046	0.0016141	1			
BCC42	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Algeria	34.217	-1.250	-0.0059871	0.00028326	0.0037122	1			
BCC51	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Egypt	30.567	34.483	-0.012147	0.0043518	-0.0026378	1			
BCC54	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Egypt	30.817	32.517	-0.0071033	0.004009	-0.0027031	1			
BCC761	6	4	Landrace 6-row	Landrace	6	ExCAP landrace	Nepal	28.356	83.736	-0.00089043	-0.014585	-0.0076728	5			
FT037	8	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Israel	31.401	34.473	0.014589	0.007355	-0.012769	8			
FT045	7	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Israel	31.673	35.437	0.011937	0.0015608	-0.012534	6			
FT067	5	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Israel	31.537	34.890	0.016522	0.0096705	-0.01093	4			
FT11	8	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Israel	31.835	35.305	0.011563	0.0030043	-0.013771	8			
FT144	9	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Israel	30.572	34.680	0.018829	0.01395	-0.0087199	11			
FT147	4	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Israel	30.845	34.744	0.01026	0.0066015	-0.014667	3			
FT172	9	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Israel	33.229	35.731	0.017793	0.0089135	-0.0056425	11			
FT175	9	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Israel	33.251	35.646	0.020336	0.0083552	-0.0094942	11			
FT18	8	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Israel	32.069	35.399	0.015805	0.0033653	-0.011118	8			
FT218	4	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Israel	31.772	35.113	0.014843	0.0069298	-0.012382	3			
FT219	9	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Israel	33.287	35.764	0.016294	0.0054708	-0.0048921	11			
FT222	9	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Israel	32.974	35.424	0.015768	0.0095525	-0.0023434	11			
FT226	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Israel	31.779	35.224	-0.0099405	0.0020503	0.004728	1			
FT229	5	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Iraq	36.400	44.150	0.01558	0.0037791	-0.0087802	4			
FT230	10	3	Spontaneum	Spontaneum	Spont	Spont	Iraq	35.033	45.717	-0.00055248	0.0013271	-0.00093905	10			
FT232	9	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Iraq	36.417	41.650	0.016556	-0.0023054	0.010079	11			
FT248	8	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Iran	31.676	48.579	0.012386	-0.0082032	0.0037388	8			
FT252	9	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Turkey	37.250	44.483	0.017999	0.00063211	0.010521	11			
FT262	4	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Turkey	36.781	37.283	0.017766	0.0043757	0.0075029	3			
FT268	4	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Syria	35.167	38.881	0.012872	-0.0073592	0.011525	3			
FT270	10	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Syria	33.654	36.836	0.017158	0.0038477	-0.0040807	10			
FT272	10	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Jordan	32.217	36.050	0.016916	0.0041219	-0.0039498	10			
FT276	10	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Jordan	32.583	35.667	0.014788	0.0028251	-0.0029284	10			
FT279	3	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Afghanistan	35.750	69.000	0.020351	-0.004548	0.016743	3			
FT286	8	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Iran	30.067	50.833	0.013541	0.0080809	-0.010176	8			
FT31	4	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Israel	31.698	34.585	0.010167	0.0057903	-0.0058696	3			
FT333	3	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Iran	35.983	59.483	0.014801	-0.0087362	0.011532	3			
FT338	10	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Israel	33.000	35.417	0.019247	0.010258	-0.0063269	10			
FT340	10	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Israel	31.500	34.700	0.017603	0.010292	-0.0083173	10			
FT359	2	4	Landrace 6-row	Landrace	6	ExCAP landrace	Morocco	34.020	-6.830	-0.0096326	0.0064567	-0.0015871	2			
FT361	2	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Greece	36.400	28.167	0.0070828	0.0079763	-0.0041595	2			
FT363	7	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Cyprus	34.983	34.017	0.010536	0.002989	-0.0057833	6			
FT376	3	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Turkmenistan	35.276	62.342	0.018298	-0.0094317	0.014315	3			
FT380	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Egypt	31.350	27.233	-0.0040485	-0.00060907	0.0043035	1			
FT388	6	4	Landrace 6-row	Landrace	6	ExCAP landrace	China	29.650	91.100	0.0055504	-0.014267	-0.012624	5			
FT389	8	5	Spontaneum	Spontaneum	Spont	ExCAP spont	China	30.970	101.150	0.013082	-0.008512	0.0056931	8			
FT393	8	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Israel	32.743	35.445	0.013968	0.007756	-0.0072217	9			
FT411	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Switzerland	46.314	7.851	-0.0044174	-0.00097385	0.0012454	1			
FT414	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Yemen	15.360	44.210	-0.0054733	-0.004516	-0.0029565	1			
FT42	8	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Israel	30.890	34.631	0.014824	0.0050453	-0.012384	8			
FT462	10	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Turkey	37.778	39.780	0.017444	0.00010114	0.011472	10			
FT469	10	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Turkey	37.553	39.702	0.021663	-0.0025744	0.01365	10			
FT470	9	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Turkey	37.332	40.771	0.02175	0.0013857	0.012672	11			
FT473	10	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Turkey	37.658	37.787	0.018604	0.0041838	0.0056019	10			
FT507	3	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Iraq	36.383	43.417	0.020399	-0.0081717	0.020356	3			
FT512	10	5	Spontaneum	Spontaneum	Spont	ExCAP spont	Syria	35.606	35.821	0.016275	0.0030428	0.0008118	10			
FT519	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	China	31.000	112.000	-0.010716	0.0031562	0.00297	1			
FT520	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Kyrgyzstan	42.819	75.281	-0.0092189	-0.00002008	0.0017242	1			
FT521	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Spain	42.733	2.683	-0.010424	0.0049192	0.0024472	1			
FT523	6	4	Landrace 6-row	Landrace	6	ExCAP landrace	Turkmenistan	41.600	60.150	0.0030059	-0.019999	-0.011706	5			
FT524	6	4	Landrace 6-row	Landrace	6	ExCAP landrace	Democratic People's Republic of Korea	39.500	126.400	0.0023928	-0.012029	-0.0063545	5			
FT525	1	3	Landrace 2-row	Landrace	2	ExCAP landrace	Turkey	37.029	37.990	-0.0011482	-0.0010029	0.0031285	1			
FT539	1	4	Landrace 6-row	Landrace	6	ExCAP landrace	Turkey	37.572	44.283	-0.0033597	-0.0077213	-0.0030389	1			
FT549	10	3	Landrace 2-row	Landrace	2	ExCAP landrace	Jordan	31.717	35.800	-0.0029909	0.0035516	-0.00086818	10			
FT553	10	3	Landrace 2-row	Landrace	2	ExCAP landrace	Israel	31.767	35.233	0.00020807	-0.00059631	-0.0022637	10			
FT554	6	4	Landrace 6-row	Landrace	6	ExCAP landrace	Tajikistan	37.333	68.667	0.0076019	-0.014124	-0.016426	5			
